"الرابط","مرات الظهور","H1-١","طول H1-١","قابلية الأرشفة","حالة الأرشفة"
"https://dnmeg.com/","1","DNM.EG","6","قابل للفهرسة",""
"https://dnmeg.com/collections/accessories","0","","0","قابل للفهرسة",""
"https://dnmeg.com/collections/all","0","","0","قابل للفهرسة",""
"https://dnmeg.com/collections/winter","0","","0","قابل للفهرسة",""
"https://dnmeg.com/products/jeans-1-9","1","Jeans 2.0","9","قابل للفهرسة",""
"https://dnmeg.com/collections/jeans","0","","0","قابل للفهرسة",""
"https://dnmeg.com/products/tee-v2","1","TEE V2","6","قابل للفهرسة",""
"https://dnmeg.com/products/tee-v1","1","TEE V1","6","قابل للفهرسة",""
"https://dnmeg.com/pages/contact","1","Contact","7","قابل للفهرسة",""
"https://dnmeg.com/products/beanie-1-1","1","Beanie 1.1","10","قابل للفهرسة",""
"https://dnmeg.com/products/beanie-1-0","1","Beanie 1.0","10","قابل للفهرسة",""
"https://dnmeg.com/products/key","1","KEY CHAIN 1.0","13","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-0","1","JERSEY 1.0","10","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-2","1","JERSEY 1.2","10","قابل للفهرسة",""
"https://dnmeg.com/products/jersey-1-3","1","JERSEY 1.3","10","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-0-pack-of-3","1","SOCKS 1.0 (PACK OF 3) up","24","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-in-grey","1","PERFECT BAGGY JEANS (GREY)","26","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-2","1","ZIP-UP 1.2","10","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-4","1","ZIP-UP 1.4","10","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-in-blue","1","PERFECT BAGGY JEANS (BLUE)","26","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-3","1","ZIP-UP 1.3","10","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-0","1","ZIP-UP 1.0","10","قابل للفهرسة",""
"https://dnmeg.com/products/zip-up-1-5","1","ZIP-UP 1.5","10","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-1-pack-of-3","1","SOCKS 1.1 (PACK OF 3)","21","قابل للفهرسة",""
"https://dnmeg.com/products/jeans-1-2","1","JEANS 1.2","9","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-0","1","SOCKS 1.0","9","قابل للفهرسة",""
"https://dnmeg.com/products/socks-1-1","1","SOCKS 1.1","9","قابل للفهرسة",""
"https://dnmeg.com/products/jeans-1-6","1","JEANS 1.6","9","قابل للفهرسة",""
"https://dnmeg.com/products/cap-1-2","1","Cap 1.0","7","قابل للفهرسة",""
"https://dnmeg.com/products/sleeveless-1-1","1","SLEEVELESS 1.1","14","قابل للفهرسة",""
"https://dnmeg.com/products/sleeveless-1-0","1","SLEEVELESS 1.0","14","قابل للفهرسة",""
"https://dnmeg.com/products/perfect-baggy-jeans-black","1","PERFECT BAGGY JEANS (BLACK)","27","قابل للفهرسة",""
