url,status,title,description,h1,images_count,links_in,links_out,schema
https://dnmeg.com,200,DNM.EG,DRESS BEYOND LIMITS.,,10,15,2,✅
https://dnmeg.com/collections/all,200,"Products
 – DNM.EG",,,12,22,2,✅
https://dnmeg.com/collections/winter,200,"WINTER
 – DNM.EG",,,14,25,2,✅
https://dnmeg.com/collections/jeans,200,"Jeans
 – DNM.EG",,,7,18,2,✅
https://dnmeg.com/collections/accessories,200,"ACCESSORIES
 – DNM.EG",,,8,19,2,✅
https://dnmeg.com/pages/contact,200,"Contact
 – DNM.EG",,Contact,1,12,2,✅
https://dnmeg.com/products/tee-v1,200,"TEE V1
 – DNM.EG",,TEE V1,6,13,2,✅
https://dnmeg.com/products/tee-v2,200,"TEE V2
 – DNM.EG",“HEARTLESS”  (THEWORKSHOPXX X DNM COLLECTION),TEE V2,6,13,2,✅
https://dnmeg.com/products/jeans-1-9,200,"Jeans 2.0
 – DNM.EG",,Jeans 2.0,6,13,2,✅
https://dnmeg.com/search,200,"Search
 – DNM.EG",DRESS BEYOND LIMITS.,Search,1,12,2,✅
https://dnmeg.com/policies/shipping-policy,200,"Shipping policy
 – DNM.EG",,Shipping policy,1,12,2,✅
https://dnmeg.com/policies/refund-policy,200,"Refund policy
 – DNM.EG",,Refund policy,1,12,2,✅
https://dnmeg.com/policies/terms-of-service,200,"Terms of service
 – DNM.EG",,Terms of service,1,12,2,✅
https://dnmeg.com/products/jersey-1-0,200,"JERSEY 1.0
 – DNM.EG",Premium jersey with crisp embroidery and bold puff prints — built to turn heads on and off the streets.,JERSEY 1.0,14,13,2,✅
https://dnmeg.com/products/jersey-1-2,200,"JERSEY 1.2
 – DNM.EG",Premium jersey with crisp embroidery and bold puff prints — built to turn heads on and off the streets.,JERSEY 1.2,12,13,2,✅
https://dnmeg.com/products/jersey-1-3,200,"JERSEY 1.3
 – DNM.EG",Blacked-out premium jersey with crisp embroidery and bold puff prints — built to turn heads on and off the streets,JERSEY 1.3,16,13,2,✅
https://dnmeg.com/products/sleeveless-1-0,200,"SLEEVELESS 1.0
 – DNM.EG","A premium sleeveless t-shirt made from soft, high-quality fabric with bold, durable prints. Designed for all-day comfort and a fresh, effortless look.",SLEEVELESS 1.0,10,13,2,✅
https://dnmeg.com/products/sleeveless-1-1,200,"SLEEVELESS 1.1
 – DNM.EG","A premium sleeveless t-shirt made from soft, high-quality fabric with bold, durable prints. Designed for all-day comfort and a fresh, effortless look.",SLEEVELESS 1.1,10,13,2,✅
https://dnmeg.com/products/perfect-baggy-jeans-black,200,"PERFECT BAGGY JEANS (BLACK)
 – DNM.EG",BLACK BAGGY JEANS STONE WASHED MODEL 185CM AND 71KG WEARING SIZE 38,PERFECT BAGGY JEANS (BLACK),28,13,2,✅
https://dnmeg.com/products/perfect-baggy-jeans-in-blue,200,"PERFECT BAGGY JEANS (BLUE)
 – DNM.EG",BLUE BAGGY JEANS STONE WASHED MODEL 185CM AND 71KG WEARING SIZE 38,PERFECT BAGGY JEANS (BLUE),20,13,2,✅
https://dnmeg.com/products/perfect-baggy-jeans-in-grey,200,"PERFECT BAGGY JEANS (GREY)
 – DNM.EG",GREY BAGGY JEANS STONE WASHED MODEL 185CM AND 71KG WEARING SIZE 38,PERFECT BAGGY JEANS (GREY),14,13,2,✅
https://dnmeg.com/products/cap-1-2,200,"Cap 1.0
 – DNM.EG",,Cap 1.0,7,13,2,✅
https://dnmeg.com/products/jeans-1-2,200,"JEANS 1.2
 – DNM.EG",,JEANS 1.2,12,13,2,✅
https://dnmeg.com/products/zip-up-1-0,200,"ZIP-UP 1.0
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Zip-Ups Experience ultimate comfort and style with our FW25 Drop 4.0 zip-up hoodies. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",ZIP-UP 1.0,14,13,2,✅
https://dnmeg.com/products/zip-up-1-2,200,"ZIP-UP 1.2
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Zip-Ups Experience ultimate comfort and style with our FW25 Drop 4.0 zip-up hoodies. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",ZIP-UP 1.2,14,13,2,✅
https://dnmeg.com/products/zip-up-1-3,200,"ZIP-UP 1.3
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Zip-Ups Experience ultimate comfort and style with our FW25 Drop 4.0 zip-up hoodies. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",ZIP-UP 1.3,14,13,2,✅
https://dnmeg.com/products/zip-up-1-4,200,"ZIP-UP 1.4
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Zip-Ups Experience ultimate comfort and style with our FW25 Drop 4.0 zip-up hoodies. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",ZIP-UP 1.4,14,13,2,✅
https://dnmeg.com/products/zip-up-1-5,200,"ZIP-UP 1.5
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Zip-Ups Experience ultimate comfort and style with our FW25 Drop 4.0 zip-up hoodies. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",ZIP-UP 1.5,14,13,2,✅
https://dnmeg.com/products/socks-1-0-pack-of-3,200,"SOCKS 1.0 (PACK OF 3) up
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Socks Experience ultimate comfort and style with our FW25 Drop 4.0 socks. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",SOCKS 1.0 (PACK OF 3) up,6,13,2,✅
https://dnmeg.com/products/socks-1-1-pack-of-3,200,"SOCKS 1.1 (PACK OF 3)
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Socks Experience ultimate comfort and style with our FW25 Drop 4.0 socks. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",SOCKS 1.1 (PACK OF 3),6,13,2,✅
https://dnmeg.com/products/socks-1-0,200,"SOCKS 1.0
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Socks Experience ultimate comfort and style with our FW25 Drop 4.0 socks. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",SOCKS 1.0,6,13,2,✅
https://dnmeg.com/products/socks-1-1,200,"SOCKS 1.1
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Socks Experience ultimate comfort and style with our FW25 Drop 4.0 socks. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",SOCKS 1.1,6,13,2,✅
https://dnmeg.com/products/key,200,"KEY CHAIN 1.0
 – DNM.EG",STAINLESS STEEL DNM STAR KEYCHAIN,KEY CHAIN 1.0,6,13,2,✅
https://dnmeg.com/products/jeans-1-6,200,"JEANS 1.6
 – DNM.EG","INTRODUCING OUR PREMIUM JEANS—A PERFECT COMBINATION OF STYLE, COMFORT, AND QUALITY. CRAFTED WITH CARE, THESE JEANS FEATURE SUPERIOR DENIM FABRIC, EXQUISITE EMBROIDERY, AND A RELAXED BAGGY FIT. ELEVATE YOUR WARDROBE WITH OUR STANDOUT JEANS THAT OFFER DURABILITY, STUNNING DETAILS, AND A TRENDY LOOK. Models are wearing si",JEANS 1.6,10,13,2,✅
https://dnmeg.com/products/beanie-1-0,200,"Beanie 1.0
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Beanies Experience ultimate comfort and style with our FW25 Drop 4.0 beanies. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",Beanie 1.0,4,13,2,✅
https://dnmeg.com/products/beanie-1-1,200,"Beanie 1.1
 – DNM.EG","FW25 Drop 4.0: Exclusive Club Beanies Experience ultimate comfort and style with our FW25 Drop 4.0 beanies. Perfectly blending streetwear aesthetics with premium materials, this collection features versatile pieces designed for every season.",Beanie 1.1,4,13,2,✅
